periodo,valor
3º tri 2022,4.3
4º tri 2022,2.7
1º tri 2023,4.4
2º tri 2023,3.9
3º tri 2023,2.4
4º tri 2023,2.4
1º tri 2024,2.6
2º tri 2024,3.3
3º tri 2024,4
4º tri 2024,3.6
1º tri 2025,2.9
2º tri 2025,2.2
